FPR,TPR,Threshold
0.0,0.0,1.8870083823014852
0.0,0.011111111111111112,0.8870083823014852
0.0,0.022222222222222223,0.8607431172544746
0.022222222222222223,0.022222222222222223,0.8592832484918993
0.022222222222222223,0.2,0.824144032217132
0.06666666666666667,0.2,0.8210520382440053
0.06666666666666667,0.2777777777777778,0.8092466815646061
0.1111111111111111,0.2777777777777778,0.8074293145773758
0.1111111111111111,0.36666666666666664,0.8033905346333436
0.13333333333333333,0.36666666666666664,0.8033128400511482
0.13333333333333333,0.37777777777777777,0.8024939145420787
0.15555555555555556,0.37777777777777777,0.8020831118306185
0.15555555555555556,0.4,0.7972900204787117
0.17777777777777778,0.4,0.796061164215245
0.17777777777777778,0.43333333333333335,0.7943101627807696
0.2,0.43333333333333335,0.7940620394250978
0.2,0.45555555555555555,0.7903025598570803
0.26666666666666666,0.45555555555555555,0.7886218608028547
0.26666666666666666,0.6555555555555556,0.7793670338530693
0.28888888888888886,0.6555555555555556,0.7792648345454075
0.28888888888888886,0.7222222222222222,0.7765146110499477
0.3111111111111111,0.7222222222222222,0.7760272089352663
0.3111111111111111,0.7333333333333333,0.7751611015982558
0.3333333333333333,0.7333333333333333,0.7745361884098123
0.3333333333333333,0.8555555555555555,0.7679498606204763
0.35555555555555557,0.8555555555555555,0.767666596429189
0.35555555555555557,0.8777777777777778,0.7652295843544114
0.4,0.8777777777777778,0.7617933721279991
0.4,0.8888888888888888,0.7610724119230213
0.4666666666666667,0.8888888888888888,0.7597960260729408
0.4666666666666667,0.9555555555555556,0.7528437491588774
0.4888888888888889,0.9555555555555556,0.7487938785465024
0.4888888888888889,0.9777777777777777,0.7436599695877536
0.5333333333333333,0.9777777777777777,0.7195832729118644
0.5333333333333333,0.9888888888888889,0.7158694150067765
0.8222222222222222,0.9888888888888889,0.16082387565065137
0.8222222222222222,1.0,0.15647044585465808
1.0,1.0,0.13059315850840064
